institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
Langara College,2020-05-01,Dental Reception,,1527, Completed  ,,
Okanagan College,2020-02-01,,,, Never Attended ,,
College of New Caledonia,1770-07-07,,,, Never Attended ,,
College of the Rockies,2019-09-03,Heavy Mechanical,,, Completed  ,,
Selkirk College,2020-09-01,Office Administration & tech,,3858.52,,,
North Island College,2020-01-03,Business Administration Certificate,,3590, Never Attended ,,
College of New Caledonia,2019-09-03,Auto Foundations,,, Completed  , Completed Initial credential Auto Foundations - Tool deposit refund ,
University of the Fraser Valley,2020-09-02,Qualifying Studies for Degree,4,33438.24, Hiatus ,,
BCIT,2020-01-01,Diploma of Trades: Metal Fabricator Apprentice,1,2050, Hiatus , Withdrew ,
BCIT,2021-09-07,Specialty Nursing Courses,1,1755, Hiatus ,,
University of Victoria,2020-01-01,Bachelor of Science in Nursing,,, Attending ,,
North Island College,2020-01-06,University Studies,,1364.33, Hiatus ,,
Nicola Valley Institute of Technology,1770-07-07,Associate of Arts,,, Hiatus ,,
Okanagan College,2020-01-01,Continuing Studies - Non-certificate,3,, Completed  , No academic or vocational admission ,day
Selkirk College,2020-09-01,Associate of Arts,2,5717.96,,,
Okanagan College,2020-01-01,Associate of Arts,2,8934, Never Attended ,,
Thompson Rivers University,2020-01-01,Bachelor of Arts,4,24100, Attending ,,
Douglas College,2020-01-06,Associate of Arts ,2,12000, Attending ,,
Thompson Rivers University,2019-09-26,Bachelor of Arts,4,24000, Hiatus ,,
University of the Fraser Valley,2020-01-06,Qualifying Studies,1,8005, Attending ,,
Vancouver Community College,2021-12-01,Train the Trainer Certificate,1,1535,,,
Thompson Rivers University,2020-01-01,Bachelor of Arts,4,24000, Attending ,,
College of New Caledonia,1770-07-07,,,, Never Attended ,,
Okanagan College,2020-04-02,Refrigeration/Air Conditioning Mechanic,,3807.8, Completed  ,,
BCIT,2020-01-01,Diploma: Automotive Technician Apprentice,,2500, Hiatus ,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
University of the Fraser Valley,2020-01-01,Bachelor of Arts,4,21609, Hiatus , Withdrew last Winter. ,
Nicola Valley Institute of Technology,2019-09-01,Bachelor of Social Work,2,7800, Hiatus ," Last attended date: May 20, 2020 ",
Douglas College,2020-01-01,Associate of Arts,2,12000, Hiatus ,,
Douglas College,2020-01-06,Academic Foundations,1,2903, Hiatus ,,
Kwantlen Polytechnic University,2019-09-06,Farrier Program,9,7000, Completed  ,,month
University of the Fraser Valley,2020-01-06,General Studies,,10804.5, Attending ,,
Simon Fraser University,2020-09-10,Indigenous University Prep,1,5501,,,
University of the Fraser Valley,2019-09-08,Criminal Justice Diploma,,15619.98, Never Attended , Transferred out ,
Simon Fraser University,2020-09-08,Indigenous University Prep,2,,,,
Douglas College,2020-01-01,General Studies Diploma,2,12000, Hiatus ,,
University of British Columbia Okanagan,2020-01-06,Bachelor of Science,4,3514, Hiatus , Other ,
Justice Institute of British Columbia,2020-04-01,Emergency Medical Responder,1,1684, Completed  ,,
Vancouver Community College,2021-09-01,Medical Lab Assistant,1,3500, Never Attended ,,
Simon Fraser University,2020-09-09,Bachelor of Arts,4,26704,,,
Langara College,2020-01-06,Associate of Arts,2,9150, Attending ,,
Vancouver Community College,2022-01-01,Esthetics,1,12468,,,
North Island College,2020-01-06,Practical Nursing,3,16000, Attending ,,
Sheet Metal Workers Training Centre Society,2019-08-04,,,,,,
University of Northen BC,2019-09-04,Psychology,4,24565, Attending ,,
Okanagan College,2020-01-06,Welder Foundation,1,5506, Completed  ,,
Thompson Rivers University,2020-01-06,Bachelor of Science,4,23648, Attending ,,
Douglas College,2020-01-01,General Studies,2,12000, Hiatus ,,
Camosun College,2020-09-01,College Prep/Office Administration,1,, Attending ,,
BCIT,2020-01-06,Associate Certificate: Trades Discovery,16,2687.44, Attending ,,week
Simon Fraser University,2018-12-03,Bachelor of Arts,4,26160,,,
Vancouver Community College,2020-09-10,Fashion Arts & Design,2,12500, Attending ,,
Simon Fraser University,2020-05-11,Bachelor of Arts in Criminology,4,26160,,,
North Island College,2020-01-06,Upgrading & University Transfer,2,7500,,,
Simon Fraser University,2021-09-08,IUPP,1,5625,,,
University of British Columbia,2022-09-06,Bachelor of Midwifery,3,20000, Attending ,,
Thompson Rivers University,2020-01-06,Bachelor of Arts,4,23648, Attending ,,
University of the Fraser Valley,2020-01-06,Qualifying Studies for Nursing,4,33438.24, Attending ,,
Douglas College,2020-01-06,General Studies,2,1734.77, Hiatus ,,
Okanagan College,2020-01-04,ABE Findamentals Certificate/Health Care Assistant,,3604, Attending , Not billed-ABE ,
Douglas College,2021-09-07,Academic Foundation,1,5601, Attending ,,
Nicola Valley Institute of Technology,2020-01-06,Associate of Arts,2,5600, Hiatus ," Last attended date: June 9, 2020 ",
Vancouver Community College,2020-02-03,Dental Reception Coordinator,1,3500, Hiatus ,,
Vancouver Community College,2019-04-01,,,,, Not registered yet. ,
Douglas College,2020-01-06,General Studies,2,12000, Hiatus ,,
Langara College,2020-09-01,Kinesiology Diploma,2,9335, Attending ,,
Okanagan College,2020-01-06,Associate of Science,2,9600, Hiatus , Last attended Winter 2020 ,
Langara College,2020-05-04,Diploma in Fine Arts ,2,7108.8, Hiatus ,,
University of Northen BC,2020-01-06,Arts & Science,4,25964, Attending ,,
Okanagan College,2021-09-01,Esthetics and Nail Certificate,1,10740, Attending , Welder foundation completed ,
BCIT,2020-01-06,Ironworker Foundation Certificate,6,3926.73, Completed  ,,month
Okanagan College,1770-07-07,Welder Foundation,,, Completed  ,,
BCIT,2020-03-16,Electrical Apprentice,10,1560.2, Hiatus ,,week
Coast Mountain College,2020-02-10,Harmonized Carpentry Foundation,24,4430, Completed  ,,week
Simon Fraser University,2019-09-01,,,,,,
Vancouver Community College,2020-01-14,Make-Up Artisitry Program,1,4000, Hiatus ,,
Vancouver Island University,2020-03-09,Hairstylist Level 2 Apprenticeship,13,618, Never Attended ,,week
Langara College,2020-01-09,General Arts Diploma,2,9150, Hiatus ,,
Justice Insitute of British Columbia,2021-09-20,Emergency Medical Responder & Primary Care Paramedic,2,7065, Attending ,,
Vancouver Island University,2020-01-06,Unclassified,4,25000, Hiatus , Est. cost assumes move to degree program ,
Camosun College,2020-01-06,Bachelor of Science in Nursing ,4,11900, Completed  ,,
University of Victoria,2021-01-01,Bachelor of Science in Nursing,4,, Attending ,,
Camosun College,2020-01-01,Indigenous College Prep,,, Hiatus ,,
Thompson Rivers University,2020-01-06,Bachelor of Business Admin,4,22260, Hiatus ,,
Coast Mountain College,2020-01-06,Associate of Arts,2,12323, Hiatus ,,
Kwantlen Polytechnic University,2020-01-03,Bachelor of  Horticulture Science ,4,25000, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Science,,, Attending ,,
Nicola Valley Institute of Technology,2021-01-04,College Readiness,1,300, Hiatus , Withdrew from Culinary Arts and switched to upgrading ,
Thompson Rivers University,2020-07-01,Bachelor of Arts in Psychology,4,3668,,,
Okanagan College,2020-09-01,Automotive Service Technician ,33,4888, Never Attended ,,week
University of British Columbia Okanagan,2021-09-01,Bachelor of Science ,4,27000, Hiatus ,,
Native Education College,2019-09-03,Family & Community Counseling Certificate,2,8025, Attending ,,
University of Victoria,2020-05-04,Bachelor of Arts,4,27624, Attending ,,
Camosun College,2020-01-06,Health Care Assistant,26,3286, Completed  ,,week
College of the Rockies,2020-09-08,Bachelor of Business Management,4,17000, Hiatus ,,
Camosun College,2020-01-06,Health Care Assistant,26,3244, Completed  ,,week
University of the Fraser Valley,2020-09-02,Social Services Diploma,2,14272, Attending ,,
North Island College,2020-01-06,Culinary Diploma,18,9000, Hiatus ,,month
University of British Columbia-Okanagan,2020-01-06,Bachelor of Arts,4,22000, Attending ,,
Nicola Valley Institute of Technology,2019-09-04,Associate of Arts in Criminology,2,2862.9, Hiatus ,,
Simon Fraser University,2020-09-09,Bachelor of Arts in Criminology,4,13352, Attending ,,
Thompson Rivers University,2020-07-01,Heavy Mechanical Foundations,1,4819, Completed  ,,
Justice Institute of British Columbia,2020-04-01,Bylaw Endorsement ,7,1344.35, Hiatus ,,week
Thompson Rivers University,2020-09-01,Bachelor of Arts,4,23648, Never Attended ,,
College of New Caledonia,2020-03-03,Welder Level B,17,2602, Hiatus ,,week
Thompson Rivers University,2020-01-06,Bachelor of Arts,4,23648, Attending ,,
Thompson Rivers University,2020-01-06,Cook Apprentice,18,2514, Hiatus ,,month
Nicola Valley Institute of Technology,2020-09-01,Bachelor of Social Work,2,7800, Attending ,,
Thompson Rivers University,2020-10-26,Management Skills for Supervisors,1,2300,,,
Langara College,2020-01-06,Bachelor of Science in Nursing ,4,18420, Attending ,,
University of the Fraser Valley,2020-03-30,Powerline Technician Certificate,,11000, Hiatus ,,
Coast Mountain College,2020-01-06,Associate Degree,2,7151, Attending ,,
Justice Institute of British Columbia,1770-07-07,Emergency Reposnder Course,,1684.16, Completed  ,,
Camosun College,1770-07-07,Photography,,385, Never Attended , Class cancelled ,
Kwantlen Polytechnic University,2020-01-03,Accounting,4,23500, Attending ,,
Kwantlen Polytechnic University,2020-01-03,Bachelor of Business Admnistration in Accounting,4,23500, Attending ,,
Douglas College,2020-09-08,Youth Justice Diploma,2,10909, Attending ,,
Simon Fraser University,2020-09-09,Bachelor of Arts in Criminology,4,26160, Attending ,,
Thompson Rivers University,2020-09-09,Bachelor of Business Administration,4,21520,,,
Kwantlen Polytechnic University,2020-01-05,Science & Horticulture,4,23408, Never Attended ,,
BCIT,2020-09-08,Business Management,2,12000, Attending ,,
Douglas College,2020-05-01,Criminology Certificate,1,1734.77, Hiatus ,,
Thompson Rivers University,2020-02-23,Health Care Assistant Certificate,1,4410.56, Hiatus ,,
University of the Fraser Valley,2020-09-01,Electronics Technician Certificate,,5263, Never Attended ,,
Vancouver Community College,2020-05-04,Hairstylist,1,10174, Never Attended ,,
Douglas College,2020-01-01,Bachelor in Applied Criminology,2,6919.08, Hiatus ,,
Justice Insitute of British Columbia,1770-07-07,Bylayw Certificate,,, Completed  ,,
Northern Lights College,2020-09-08,Heavy Mechanical Trades Certificate,1,4000.56, Never Attended ,,
University of the Fraser Valley,2020-09-01,Bachelor of Social Work,4,20826.64, Never Attended ,,
Thompson Rivers University,2020-01-06,Bachelor of Arts,4,23648, Attending ,,
University of British Columbia,2021-09-07,Bachelor of Arts,4,26000, Attending ,,
Vancouver Community College,2020-05-01,University Transfer,1,1698, Completed  ,,
Vancouver Island University,2019-09-03,Recreation and Sport Management,2,14000, Attending ,,
Langara College,2020-05-04,Foundations in Health Studies,1,2400, Hiatus ,,
Okanagan College,2020-05-04,Medical Device Reprocessing Certificate,1,5056, Completed  ,,
Vancouver Island University,2021-01-05,Automotive Apprenticeship,1,2500, Attending , Level 3 Start Winter '22 ,
Thompson Rivers University,2021-09-14,Bachelor of Computing Science,4,22744, Attending ,,
University of British Columbia,2020-09-04,Bachelor of Science in Applied Biology,4,30000, Hiatus ,,
Kwantlen Polytechnic University,2020-01-03,Business,4,23500, Attending ,,
Thompson Rivers University,2020-04-01,Social Service Worker Certificate,1,7152.02, Hiatus ,,
Coast Mountain College,2020-02-03,Harmonized Electrical Foundations,24,2330.12, Hiatus ," Student withdrawn for non-attendance on May 27, 2019 ",week
North Island College,2020-03-31,Early Childhood Care & Learning,43,4095, Hiatus , Withdrawal Summer '21 ,week
Vancouver Island University,2020-09-08,Professional Esthetics,1,14000, Completed  ,,
Okanagan College,2020-10-05,Culinary Arts Certificate,1,5866, Completed  ,,
Douglas College,2020-05-04,General Studies,17,1734.77, Hiatus ,,week
Camosun College,2020-05-01,University Transfer,2,9200, Hiatus ,,
University of Victoria,2021-01-01,,,, Attending ,,
Vancouver Island University,2020-08-31,Professional Cook Level 1 & 2,1,7720, Hiatus , Withdrew Sept 2020 ,
College of New Caledonia,2020-05-11,Social Service Work Applied Diploma,2,7866, Attending ,,
Nicola Valley Institute of Technology,2020-09-08,Aboriginal Early Childhood Education Certificate,1,5078, Hiatus , Missed On Summer Invoice ,
Nicola Valley Institute of Technology,2020-09-08,Community and Public Safety Professional Certificate,1,4913.1, Completed  ,,
University of British Columbia Okanagan,2020-09-08,Bachelor of Science,4,30000, Attending ,,
Thompson Rivers University,2020-06-22,Bachelor of Business Administration,4,21088,,,
University of Victoria,2020-09-01,Bachelor of Engineering,4,38219.2, Attending ,,
University of the Fraser Valley,2020-09-01,Early Childhood Education Certificate,1,8005, Hiatus ,,
Thompson Rivers University,2020-07-27,Heavy Mechanical Foundations,1,5842, Hiatus ,,
University of British Columbia,2020-09-04,Bachelor of Arts,4,35887, Attending ,,
Camosun College,2020-09-01,Bachelor of Science in Nursing,4,20500, Never Attended , Application withdrawn July/20 ,
University of British Columbia-Okanagan,2022-09-06,Bachelor of Science in Nursing,2,12500,, Transfer ,
Vancouver Island University,2021-09-07,Bachelor of Arts,4,25000, Attending ,,
College of the Rockies,1770-07-07,,,, Hiatus , withdrew and not returned so far ,
Northern Lights College,2020-09-01,Early Childhood Education Certificate,2,8791.52, Attending ,,
Kwantlen Polytechnic University,2020-09-01,Bachelor of Fashion Design and Technology,4,25000, Attending ,,
Douglas College,1900-01-03,Bachelor of Arts in Child and Youth Care ,4,16168, Attending ,,
Vancouver Island University,2020-08-04,Welding Level B,1,3280, Completed  ,,
Camosun College,2020-09-01,Massage Therapy,2,34400, Never Attended ,,
Douglas College,2020-04-20,Criminology Diploma,2,6936, Attending ,,
Douglas College,2020-05-04,Associate of Arts,2,6939.08, Hiatus ,,
Vancouver Island University,2021-09-01,Hairstylist Foundtion Certificate,1,7000, Never Attended ,,
University of the Fraser Valley,2020-09-08,Bachelor of Science,4,22152, Attending ,,
Thompson Rivers University,2020-09-02,Bachelor of Arts,4,24000,,,
University of British Columbia Okanagan,2020-09-08,Bachelor of Science,4,27000, Attending ,,
University of the Fraser Valley,2021-09-13,Bachelor of Arts,4,22430, Attending ,,
Thompson Rivers University,2019-09-01,,,,,,
Thompson Rivers University,2020-05-01,Bachelor of Arts,4,24100, Hiatus ,,
Selkirk College,2020-09-08,Associate of Arts,2,10103.8, Attending ,,
Kwantlen Polytechnic University,2020-09-08,Bachelor in Computer Information Systems,4,23000, Hiatus ,,
Douglas College,2020-09-08,Hospitality Management Diploma,2,7936, Attending ,,
BCIT,2020-09-01,Automotive Technician Foundation Certificate,1,4682.02, Completed  ,,
Vancouver Island University,2020-09-08,Bachelor of Arts,4,25000, Attending ,,
Okanagan College,2020-09-08,Welder Foundation,1,4206, Completed  ,,
Capilano University,2020-09-01,Bachelor of Design in Visual Communication,4,49931, Attending ,,
Capilano University,2020-09-01,Bachelor of Arts,4,24384.83, Hiatus ,,
University of British Columbia Okanagan,2020-09-08,Bachelor of Arts,4,27000, Attending ,,
University of British Columbia,2020-09-09,Bachelor of Arts,4,27000, Attending ,,
Douglas College,2020-09-08,Bachelor of Child and Youth Care,4,17872, Attending ,,
Vancouver Community College,2022-09-07,Dental Hygiene,2,23250, Attending ,,
University of British Columbia Okanagan,2020-09-08,Bachelor of Fine Arts,4,27000, Hiatus ,,
Capilano University,2020-09-01,Applied Behaviour Analysis Baccalaureate,4,31187.02, Attending ,,
Langara College,2020-09-01,Arts and Science Diploma in Social Science,2,9335, Attending ,,
Okanagan College,2020-09-08,Esthetics and Nail Certificate,1,10530, Completed  ,,
University of Victoria,2020-09-01,Bachelor of Music,4,26185, Attending ,,
Capilano University,2020-09-01,Applied Behaviour Analysis Baccalaureate,4,31187.02, Attending ,,
University of Victoria,2020-09-08,Bachelor of Engineering,4,31722, Attending ,,
Thompson Rivers University,2020-08-04,Welding Foundation,1,4720, Never Attended ,,
Camosun College,2020-09-01,Arts and Science Studies,2,12000, Hiatus , Withdrew ,
College of the Rockies,2020-09-01,Hairstylist Certificate,1,5975.14, Completed  ,,
BCIT,2020-09-08,Sustainable Event Management,1,6500, Attending ,,
Douglas College,2020-09-08,General Studies Diploma,2,7940, Attending ,,
Thompson Rivers University,2020-10-26,Undeclared,4,3240, Hiatus ,,
Camosun College,2020-09-08,University Transfer,2,12000, Attending ,,
Vancouver Community College,2020-09-01,Dental Tech Science,2,21380, Hiatus , Withdrawn ,
Douglas College,2020-09-08,General Studies Diploma,2,7936, Attending ,,
Justice Insitute of British Columbia,2020-08-07,Emergency Medical Response/Primary Care Paramedic Program,2,7106, Attending , Completed EMR. ,
Thompson Rivers University,2020-09-09,Bachelor of Computing Science,4,23850, Hiatus ,,
Justice Institute of British Columbia,2022-09-06,Health Sciences Diploma,2,7447.84, Attending ,   ,
Thompson Rivers University,2021-01-01,Bachelor of Science,4,24160, Hiatus ,,
Douglas College,2020-09-08,Associate of Science,2,12000, Attending ,,
Simon Fraser University,2020-09-08,Professional Development Program,2,13352, Attending ,,
College of New Caledonia,2020-09-08,Welder Foundations,1,3877, Attending ,,
College of the Rockies,2020-09-08,Hairstylist Certificate,1,8094.59, Completed  ,,
BCIT,2021-04-06,Graphic Design Associate Certificate,1,6730, Completed  ,,
Douglas College,2020-09-08,Cashier Training,1,2017, Completed  ,,
University of the Fraser Valley,2020-09-01,Veterinary Administrative Assistant,,7495, Completed  ,,
Capilano University,2020-09-08,Bachelor of Arts,2,17000, Hiatus ,,
Simon Fraser University,2020-09-09,Bachelor of Arts,4,16690, Attending ,,
Camosun College,2020-09-08,College Prep,1,14000, Hiatus ,,
Coast Mountain College,2022-01-01,Associate of Arts,2,3575,,,
North Island College,2022-01-10,University Transfer,,21000,,,
College of New Caledonia,2022-09-06,University Studies,2,8212, Attending ,,
Douglas College,2020-09-08,Youth Justice Diploma,2,12000, Attending ,,
University of the Fraser Valley,2020-09-08,Bachelor of Fine Arts,4,23765, Attending ,,
Kwantlen Polytechnic University,2020-09-08,Business Administration,4,28000, Attending ,,
Vancouver Island University,2020-09-08,Bachelor of Arts,4,25000, Attending ,,
North Island College,2020-09-01,University Transfer,2,6000, Attending ,,
Vancouver Island University,2021-09-01,Bachelor of Arts,4,25000, Attending ,,
Vancouver Island University,2015-09-08,Bachelor of Arts,4,25000, Attending ,,
University of the Fraser Valley,2020-09-08,Bachelor of Business Administration,4,23765, Attending ,,
College of New Caledonia,2020-09-08,University Studies,2,3685, Hiatus ,,
Thompson Rivers University,2021-09-07,Bachelor of Arts,4,20000, Attending ,,
Vancouver Community College,2020-08-04,Professional Cook 2 Advanced,1,2244, Completed  ,,
Vancouver Island University,2020-09-01,Professional Cook 1 & 2,1,7785, Hiatus , Withdrew Jan 2020 ,
Langara College,2020-09-08,Applied Science for Engineering Diploma,2,10430, Attending ,,
Thompson Rivers University,2021-09-08,Bachelor of Business Administration,4,21968,,,
Thompson Rivers University,2021-09-08,Bachelor of Tourism Management,4,21960,,,
Thompson Rivers University,2021-09-07,Accounting Tech Diploma,2,10982,,,
Vancouver Island University,2020-09-08,Bachelor of Arts in Child and Youth Care,4,25000, Hiatus ,,
University of Victoria,2020-09-01,Bachelor of Arts in Social Science,4,32985, Attending ,,
Douglas College,2020-09-08,General studies Diploma,2,12000, Attending ,,
Camosun College,2020-09-08,University Transfer,2,12000, Attending ,,
University of British Columbia,2020-09-08,Bachelor of Arts,4,27000, Attending ,,
Douglas College,2020-09-08,Academic Foundations Certificate,1,4032, Hiatus ,,
University of British Columbia,2021-09-01,Bachelor of Arts,4,27000, Attending ,,
Coast Mountain College,2020-09-28,Welding Foundation,28,3434, Completed  ,,week
University of the Fraser Valley,2020-09-14,Horticulture Crop Production and Protection Certificate ,1,7534, Attending ,,
Thompson Rivers University,2021-09-07,Open Learning ,,, Hiatus ,,
University of Victoria,2020-09-09,Bachelor of Science,4,27387, Attending ,,
Justice Insitute of British Columbia,2021-01-01,"Bylayw, Compliance, Enforcement and Investigation & Basic Security Training",1,2716, Completed  ,,
BCIT,2020-09-08,Human Resource Management Certificate,1,8000, Completed  ,,
Kwantlen Polytechnic University,2021-09-01,Bachelor of Business Administration Human Resource Management,4,33348, Attending ,,
University of the Fraser Valley,2020-09-14,Associate of Arts Diploma/Bachelor of Arts ,2,9812, Attending ,,
Capilano University,2020-08-24,Outdoor Recreation Management,2,15259, Attending ,,
Kwantlen Polytechnic University,2021-01-05,Bachelor of Arts in General Studies,4,32000, Hiatus ,,
Coast Mountain College,2021-03-01,University Credit Program,2,12950.3, Hiatus ,,
University of British Columbia Okanagan,2020-09-08,Bachelor of Arts,4,27000, Attending , Exception on age approved by TN ,
Thompson Rivers University,2021-12-01,Bachelor of Computing Science,4,32000,,,
Douglas College,2020-09-08,Associate of Arts,2,8076, Attending ,,
Selkirk College,2020-09-08,Human Services Diploma/Education Assistant and Community Support Worker,2,4730, Attending , Completed Education Assistant and starting Year 2 Child & Youth Care ,
North Island College,2020-09-08,University Studies,2,7350, Attending ,,
University of the Fraser Valley,2020-09-04,Bachelor of Arts in Child and Youth Care,4,23765, Hiatus ,,
Camosun College,2020-09-08,Arts and Sciences,2,, Attending ,,
North Island College,2020-09-14,Health Care Assistant,1,3875, Attending ,,
Thompson Rivers University,2020-09-09,Bachelor of Business Administration,4,21528, Never Attended ,,
Thompson Rivers University,2017-09-03,,,,,,
Douglas College,2020-09-08,Youth Justice Worker Diploma,2,8077, Attending ,,
Vancouver Island University,2020-09-08,Carpentry,1,5000, Hiatus , Withdrew F20 ,
Capilano University,2020-09-01,Bachelor of Communication ,4,24333, Hiatus ,,
Vancouver Island University,2020-11-16,Electrician Certificate,1,4000, Completed  ,,
Vancouver Island University,2020-09-08,Bachelor of Arts in Kinesiology,4,27720, Hiatus , Withdrew F20 ,
Okanagan College,2020-09-08,Associate of Arts,2,8984, Attending ,,
University of British Columbia,2020-09-08,Bachelor of Education,1,12740, Attending ,,
Thompson Rivers University,2020-09-09,Police and Justice Studies,2,16631,, Not eligible until Winter '21 ,
University of Victoria,2020-09-01,Bachelor of Arts in Social Science,4,26668, Attending ,,
Thompson Rivers University,2019-01-01,Welder Foundations,,,,,
Langara College,2020-09-08,Kinesiology Diploma,2,9340, Hiatus ,,
Vancouver Island University,2021-02-01,Heavy Equipment Operator Certificate,1,17397, Completed  ,,
Thompson Rivers University,2019-09-01,,,,,,
Thompson Rivers University,2020-01-01,,,,,,
Douglas College,2020-09-08,Pre-Bachelor Psychology,3,12114, Attending ,,
Thompson Rivers University,2020-09-09,Bachelor of Arts,4,24092, Hiatus ,,
Langara College,2020-09-08,Associate of Science in Computer Science,2,9775, Hiatus ,,
Thompson Rivers University,2020-09-01,Bachelor of Arts,2,10200, Attending ,,
University of British Columbia,2021-01-11,Bachelor of Science,4,15500,,,
University of the Fraser Valley,2020-09-14,Bachelor of Science,4,39443, Attending ,,
University of British Columbia,2020-09-04,Bachelor of Arts,4,35887,,,
University of British Columbia,2020-09-05,Bachelor of Arts,4,35887,,,
Vancouver Community College,2020-11-01,Estethics and Spa Therapy,1,12928, Completed  ,,
Coast Mountain College,2020-09-08,University Credit Program,2,12950.3, Attending ,,
Thompson Rivers University,2020-09-09,Bachelor of Arts,4,10845, Hiatus , Applied while going into 3rd year. Cost reflects this.  ,
Northern Lights College,2021-09-07,Professional Cook 1,1,, Hiatus , Did not complete ,
Thompson Rivers University,2020-09-09,Bachelor of Arts,4,21708, Never Attended ,,
Justice Insitute of British Columbia,2020-11-16,Emergency Medical Responder,1,1718, Completed  ,,
Langara College,2020-09-08,Associate of Arts: Psychology,2,9335, Hiatus ,,
Douglas College,2020-09-08,Basic Musicianship Certificate,1,1858, Attending ,,
Kwantlen Polytechnic University,2022-05-01,Fine Arts,,,,,
Okanagan College,2020-09-14,Audio Engineering and Music Production Certificate,1,9501, Completed  ,,
University of British Columbia,2021-05-10,Bachelor of Arts,4,19000,,,
Langara College,2020-09-08,Registered Massage Therapy,2,30022, Attending ,,
Langara College,2020-09-08,Graphic Novel & Comix Certificate,1,13770, Hiatus , program at Langara got cancelled indefinitely ,
University of British Columbia,2020-09-08,ESL,1,2990,,,
Kwantlen Polytechnic University,2020-09-08,Bachelor of Business Administration ,4,33000, Attending ,,
College of the Rockies,2020-09-08,Automotive Service Technician,1,3902, Completed  ,,
Douglas College,2020-09-08,Marketing Management Diploma,2,8084, Hiatus ,,
Vancouver Island University,2020-09-08,Bachelor of Arts,4,25000, Hiatus , Last attended F'20 ,
Kwantlen Polytechnic University,2020-09-08,Bachelor of Arts,4,33000, Attending ,,
Nicola Valley Institute of Technology,2020-09-08,Office Administration Certificate,1,3993, Hiatus ," Last attended date: Dec 22, 2020 ",
Vancouver Island University,2020-09-08,Automotive Foundation Program,1,6741, Completed  ,,
Kwantlen Polytechnic University,2020-09-08,Bachelor of Arts,4,23500, Attending ,,
Kwantlen Polytechnic University,2020-09-08,Bachelor of Arts,4,23500, Attending ,,
Camosun College,2020-09-08,Arts & Science Studies,2,12000, Attending ,,
Vancouver Island University,2020-09-08,Bachelor of Social Work,4,40000, Attending ,,
Nicola Valley Institute of Technology,2020-09-08,Access to Practical Nursing Diploma,2,8146, Attending ,,
Douglas College,2020-09-10,Personal Training/Continuing Education - Sports Institute,1,1495, Hiatus ,,
University of British Columbia,2020-06-01,Bachelor of Science,3,18663,,,
Douglas College,2019-09-01,Academic Foundations,1,6000, Attending ,,
University of British Columbia,2020-09-08,Bachelor of Arts,4,27000,, Eligible Winter '22 froward only ,
Okanagan College,2020-09-08,Associate of Arts,2,8984, Hiatus ,,
University of British Columbia,2020-09-08,Bachelor of Indigenous Education,4,27000, Hiatus ,,
University of the Fraser Valley,2020-10-13,Construction Electrician Certificate,1,3793, Hiatus ,,
University of British Columbia,2020-09-08,Bachelor of Arts,4,27000, Attending ,,
Vancouver Community College,2021-01-01,Professional Cook 1,1,4846, Completed  ,,
Simon Fraser University,2020-09-09,Bachelor of Arts,4,20028, Attending ,,
Nicola Valley Institute of Technology,2022-09-07,NLE?KEPMX Language Fluency Certificate,1,60,, Changed to new program at NVIT ,
Vancouver Island University,2020-10-03,Animal Care Aid,1,3500, Completed  ,,
Native Education College,2021-09-27,Indigenous Early Childhood Education Certificate/Family and Community Counselling Certificate,1,5983, Attending , 1st year ,
North Island College,2021-01-01,Office Management,,3700, Attending ,,
University of the Fraser Valley,2020-09-14,Qualifying Studies,1,8005, Attending ,,
College of New Caledonia,2020-09-08,Social Services Worker Diploma,2,8140, Attending ,,
University of British Columbia,2019-09-03,Bachelor of Arts,,18663,,,
Okanagan College,2020-09-08,Administrative Assistant Certificate,2,9811, Completed  ,,
Douglas College,2020-09-08,Criminology Diploma,2,12000, Attending ,,
BCIT,2020-09-08,Teacher Technology Training,2,14142, Completed  ,,
Justice Insitute of British Columbia,2021-02-01,Emergency Medical Responder & Primary Care Paramedic/EMS Diploma,2,17713, Attending ,,
University of the Fraser Valley,2020-09-14,Bachelor of Arts,4,23765, Attending ,,
Thompson Rivers University,2020-09-09,Bachelor of Arts,4,21704, Hiatus ,,
Douglas College,2022-01-01,General Business Diploma,2,7308,,,
University of British Columbia,1770-07-07,Bachelor of Applied Science,,10801,,,
University of the Fraser Valley,2020-09-14,Qualifying Studies,1,8005, Attending ,,
University of the Fraser Valley,2021-01-01,Qualifying Studies,1,8726, Hiatus ,,
Vancouver Island University,2020-09-03,Bachelor of Social Work,4,38000, Attending ,,
University of British Columbia,2019-09-03,Bachelor of Arts,,30887,,,
University of British Columbia,2019-01-01,,,,,,
Nicola Valley Institute of Technology,2020-09-08,Associate of Arts ,2,4044, Hiatus ," Last attended date: Dec 22, 2020 ",
Langara College,2013-09-03,Arts and Science Diploma,2,8482, Hiatus ,,
University of British Columbia,2021-09-07,Bachelor of Education,1,12265, Attending ,,
College of the Rockies,2021-09-01,Adventure Tourism Business Operations,2,14000, Attending ,,
University of Northen BC,2021-01-11,Nature Based Tourism Management,4,25564, Hiatus ,,
